MM Ali,England,5,101,95,4654,4089,84,4/46,48.67,5.27,55.4,1,0
CD Collymore,West Indies,8,84,80,4074,2924,83,5/51,35.22,4.3,49.0,1,1
Mohammad Irfan,Pakisthan,6,60,60,3109,2549,83,4/30,30.71,4.91,37.4,2,0
PV Simmons,West Indies,12,143,103,3880,2876,83,4/3,34.65,4.44,46.7,2,0
Hasan Ali,Pakisthan,3,53,51,2548,2381,82,5/34,29.03,5.6,31.0,1,3
MJ McClenaghan,New Zealand,3,48,45,2336,2313,82,5/58,28.2,5.94,28.4,6,1
CG Rackemann,Australia,8,52,52,2791,1833,82,5/16,22.35,3.94,34.0,3,1
JEC Franklin,New Zealand,12,110,97,3848,3354,81,5/42,41.4,5.22,47.5,0,1
Mohammad Amir,Pakisthan,10,61,60,3013,2400,81,5/30,29.62,4.77,37.1,1,1
DJG Sammy,West Indies,11,126,119,4956,3851,81,4/26,47.54,4.66,61.1,1,0
RGD Willis,England,11,64,64,3595,1968,80,4/11,24.6,3.28,44.9,4,0
CR Matthews,South Africa,6,56,55,3003,1975,79,4/10,25.0,3.94,38.0,3,0
A Ranatunga,Sri Lanka,17,269,135,4710,3757,79,4/14,47.55,4.78,59.6,1,0
AJ Bichel,Australia,7,67,66,3257,2463,78,7/20,31.57,4.53,41.7,1,2
IDR Bradshaw,West Indies,3,62,62,3172,2299,78,3/15,29.47,4.34,40.6,0,0
PJ Ongondo,Afr/KENYA,12,79,79,3102,2350,78,5/51,30.12,4.54,39.7,1,1
RMH Binny,India,7,72,67,2957,2260,77,4/29,29.35,4.58,38.4,3,0
Iftikhar Anjum,Pakisthan,6,62,60,2960,2430,77,5/30,31.55,4.92,38.4,2,1
P Kumar,India,5,68,67,3242,2774,77,4/31,36.02,5.13,42.1,3,0
R McLaren,South Africa,5,54,51,2403,2102,77,4/19,27.29,5.24,31.2,5,0
JE Emburey,England,13,61,61,3425,2346,76,4/37,30.86,4.1,45.0,2,0
SJ Harmison,England,7,58,57,2899,2481,76,5/33,32.64,5.13,38.1,2,1
RD King,West Indies,7,50,50,2603,1807,76,4/25,23.77,4.16,34.2,2,0
Mahmudullah,Bangladesh,12,185,134,4090,3527,76,3/4,46.4,5.17,53.8,0,0
RJ Ratnayake,Sri Lanka,11,70,70,3575,2712,76,5/32,35.68,4.55,47.0,1,1
GB Brent,Zimbabwe,12,70,69,3390,2776,75,4/22,37.01,4.91,45.2,3,0
RJ Peterson,South Africa,12,79,74,3278,2680,75,4/12,35.73,4.9,43.7,3,0
S Sreesanth,India,6,53,52,2476,2508,75,6/55,33.44,6.07,33.0,2,1
HMRKB Herath,Sri Lanka,11,71,67,3242,2362,74,4/20,31.91,4.37,43.8,1,0
TJ Murtagh,Ireland,7,58,57,3020,2290,74,5/21,30.94,4.54,40.8,4,1
W Watson,New Zealand,8,61,61,3251,2247,74,4/27,30.36,4.14,43.9,1,0
AR Border,Australia,15,273,87,2661,2071,73,3/20,28.36,4.66,36.4,0,0
RS Kalpage,Sri Lanka,7,86,81,3960,2975,73,4/36,40.75,4.5,54.2,2,0
S Madan Lal,India,13,67,64,3164,2137,73,4/20,29.27,4.05,43.3,2,0
J Botha,South Africa,7,78,75,3823,2916,72,4/19,40.5,4.57,53.0,1,0
GS Chappell,Australia,12,74,67,3108,2097,72,5/15,29.12,4.04,43.1,0,2
JR Hazlewood,Australia,8,44,43,2294,1811,72,6/52,25.15,4.73,31.8,1,3
PL Symcox,South Africa,6,80,80,3991,2762,72,4/28,38.36,4.15,55.4,1,0
DBL Powell,West Indies,7,55,55,2850,2239,71,4/27,31.53,4.71,40.1,2,0
Sohail Tanvir,Pakisthan,7,62,60,2949,2566,71,5/48,36.14,5.22,41.5,3,1
SC Williams,Zimbabwe,14,131,107,4080,3300,71,4/43,46.47,4.85,57.4,1,0
EA Brandes,Zimbabwe,12,59,59,2828,2266,70,5/28,32.37,4.8,40.4,1,2
BM McMillan,South Africa,7,78,75,3623,2589,70,4/32,36.98,4.28,51.7,1,0
NN Odhiambo,KENYA,8,69,67,2808,2585,70,4/61,36.92,5.52,40.1,1,0
AD Russell,West Indies,8,56,55,2290,2229,70,4/35,31.84,5.84,32.7,5,0
BA Stokes,England,8,95,80,2912,2920,70,5/61,41.71,6.01,41.6,1,1
AR Caddick,England,10,54,53,2937,1965,69,4/19,28.47,4.01,42.5,3,0
JP Duminy,South Africa,15,199,135,3513,3143,69,4/16,45.55,5.36,50.9,1,0
SB Joshi,India,5,69,67,3386,2509,69,5/6,36.36,4.44,49.0,1,1
MJ Santner,New Zealand,4,69,64,3079,2510,69,5/50,36.37,4.89,44.6,0,1
Shafiul Islam,Bangladesh,9,59,59,2486,2453,69,4/21,35.55,5.92,36.0,4,0
RP Singh,India,6,58,57,2565,2343,69,4/35,33.95,5.48,37.1,2,0
RR Singh,India,12,136,117,3734,2985,69,5/22,43.26,4.79,54.1,0,2
CPH Ramanayake,Sri Lanka,9,62,62,2864,2049,68,4/17,30.13,4.29,42.1,1,0
HA Varaiya,KENYA,8,63,60,2951,2048,68,4/25,30.11,4.16,43.3,2,0
MA Ealham,England,5,64,62,3227,2197,67,5/15,32.79,4.08,48.1,1,2
LH Ferguson,New Zealand,3,36,36,1902,1719,67,5/45,25.65,5.42,28.3,2,1
JR Hopes,Australia,5,84,75,3157,2384,67,5/14,35.58,4.53,47.1,0,1
MS Kasprowicz,Australia,10,43,42,2225,1674,67,5/45,24.98,4.51,33.2,1,2
Khaled Mahmud,Bangladesh,8,77,75,3385,2865,67,4/19,42.76,5.07,50.5,1,0
C Sharma,India,11,65,63,2835,2336,67,3/22,34.86,4.94,42.3,0,0
DT Johnston,Ireland,7,67,63,2930,2115,66,5/14,32.04,4.33,44.3,1,1
