TK Curran,England,2,15,15,48.0,1,418,16,4/36,26.12,8.7,18.0,1,0
GJ Delany,Ireland,0,17,17,53.0,1,391,16,2/23,24.43,7.37,19.8,0,0
GD Drummond,SCOT,5,17,17,55.0,1,381,16,3/20,23.81,6.92,20.6,0,0
FH Edwards,West Indies,5,20,20,60.0,0,497,16,3/23,31.06,8.28,22.5,0,0
Gulbadin Naib,Afganisthan,7,45,28,68.0,0,560,16,2/24,35.0,8.23,25.5,0,0
A Mishra,India,7,10,10,38.0,1,240,16,3/24,15.0,6.31,14.2,0,0
Mohammad Irfan,Pakisthan,7,22,22,75.3,0,562,16,2/18,35.12,7.44,28.3,0,0
NN Odhiambo,KENYA,6,24,21,56.1,1,468,16,5/20,29.25,8.33,21.0,0,1
JS Patel,New Zealand,3,11,10,33.1,1,269,16,3/20,16.81,8.11,12.4,0,0
Shafiul Islam,Bangladesh,9,17,17,56.4,1,459,16,3/36,28.68,8.1,21.2,0,0
JJ Smit,NAM,0,12,10,37.1,0,234,16,3/19,14.62,6.29,13.9,0,0
PR Stirling,Ireland,10,72,33,78.0,1,600,16,3/21,37.5,7.69,29.2,0,0
Yasir Arafat,Pakisthan,5,13,13,39.2,0,316,16,3/18,19.75,8.03,14.7,0,0
RG Aga,KENYA,5,20,19,48.0,1,306,15,3/24,20.4,6.37,19.2,0,0
MM Ali,England,4,25,22,60.2,0,519,15,2/21,34.6,8.6,24.1,0,0
PKD Chase,Ireland,1,12,12,41.5,0,416,15,4/35,27.73,9.94,16.7,1,0
N Pradeep,Sri Lanka,3,14,14,44.1,0,407,15,4/25,27.13,9.21,17.6,1,0
Janak Prakash,SGP,0,12,12,41.4,1,309,15,3/15,20.6,7.41,16.6,0,0
SM Pollock,South Africa,3,12,11,40.3,1,309,15,3/28,20.6,7.62,16.2,0,0
MJG Rippon,NL,5,18,17,50.4,2,310,15,3/8,20.66,6.11,20.2,0,0
Simi Singh,Ireland,1,18,18,43.2,0,344,15,3/15,22.93,7.93,17.3,0,0
RP Singh,India,2,10,9,33.0,0,225,15,4/13,15.0,6.81,13.2,1,0
Sultan Ahmed,UAE,2,17,17,55.0,3,365,15,3/33,24.33,6.63,22.0,0,0
Washington Sundar,India,2,18,18,63.0,1,417,15,3/22,27.8,6.61,25.2,0,0
Ahmed Wardak,GER,0,9,8,27.5,0,170,14,4/20,12.14,6.1,11.9,1,0
CJ Anderson,New Zealand,6,31,21,60.0,0,495,14,2/17,35.35,8.25,25.7,0,0
CJ Chibhabha,Zimbabwe,12,33,22,53.5,0,455,14,3/18,32.5,8.45,23.0,0,0
Ehsan Khan,HKG,3,15,15,54.4,0,325,14,3/32,23.21,5.94,23.4,0,0
GD Elliott,New Zealand,8,17,15,32.0,0,235,14,4/22,16.78,7.34,13.7,1,0
LH Ferguson,New Zealand,2,8,8,31.0,0,222,14,3/21,15.85,7.16,13.2,0,0
AW Hawkins-Kay,JER,0,16,15,36.0,0,266,14,4/14,19.0,7.38,15.4,1,0
Karim Sadiq,Afganisthan,8,36,28,70.0,0,482,14,3/17,34.42,6.88,30.0,0,0
Mirwais Ashraf,Afganisthan,6,25,22,65.2,1,444,14,2/6,31.71,6.79,28.0,0,0
E Otieno,KENYA,7,18,18,50.5,1,370,14,3/16,26.42,7.27,21.7,0,0
KH Pandya,India,1,18,18,66.2,1,538,14,4/36,38.42,8.11,28.4,1,0
Sami Sohail,West Indies,0,7,7,26.0,3,164,14,4/18,11.71,6.3,11.1,1,0
Shaheen Shah Afridi,Pakisthan,1,10,10,38.0,0,288,14,3/20,20.57,7.57,16.2,0,0
CA Soper,Papua New Guinea,4,13,12,33.0,0,153,14,3/13,10.92,4.63,14.1,0,0
MR Swart,NL,4,26,20,53.0,1,351,14,2/8,25.07,6.62,22.7,0,0
JD Unadkat,India,2,10,10,34.4,0,301,14,3/38,21.5,8.68,14.8,0,0
KK Ahmed,India,1,14,14,52.0,1,459,13,2/27,35.3,8.82,24.0,0,0
SR Clark,Australia,1,9,9,36.0,0,237,13,4/20,18.23,6.58,16.6,1,0
CJ Dala,South Africa,1,9,9,30.0,1,282,13,3/35,21.69,9.4,13.8,0,0
Fitri Sham,MAL,0,15,14,42.3,0,312,13,3/26,24.0,7.34,19.6,0,0
JO Holder,West Indies,5,17,17,62.1,0,524,13,2/23,40.3,8.42,28.6,0,0
JK Kamande,KENYA,3,12,10,34.2,1,212,13,3/28,16.3,6.17,15.8,0,0
AR McBrine,Ireland,3,19,13,29.0,0,216,13,2/7,16.61,7.44,13.3,0,0
A Mansale,VAN,0,14,10,26.0,0,176,13,3/13,13.53,6.76,12.0,0,0
Mohammad Asif,Pakisthan,4,11,11,42.5,1,343,13,4/18,26.38,8.0,19.7,1,0
Mohammad Shahzad,UAE,2,20,19,48.1,0,411,13,3/34,31.61,8.53,22.2,0,0
M Muralitharan,Sri Lanka,4,12,12,47.0,0,297,13,3/29,22.84,6.31,21.6,0,0
TJ Murtagh,Ireland,4,14,14,44.4,0,324,13,3/23,24.92,7.25,20.6,0,0
JDS Neesham,New Zealand,7,18,16,37.4,0,323,13,3/16,24.84,8.57,17.3,0,0
GH O'Brien,Bermuda,11,11,11,38.3,2,232,13,2/11,17.84,6.02,17.7,0,0
