MW Machan,SCOT,3,13,13,3,407,67,40.7,318,127.98,0,3,0,37,7
WU Tharanga,Sri Lanka,12,26,26,1,407,47,16.28,330,123.33,0,0,3,42,12
Sikandar Raza,Zimbabwe,6,32,30,0,406,59,13.53,384,105.72,0,1,0,34,8
EC Joyce,England,8,18,15,3,405,78,33.75,431,93.96,0,1,0,30,5
TLW Cooper,NL,4,18,17,3,404,72,28.85,306,132.02,0,2,2,38,16
BJ Haddin,Australia,8,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13
RT Ponting,Australia,4,17,16,2,401,98,28.64,302,132.78,0,2,2,41,11
HH Gibbs,South Africa,5,23,23,1,400,90,18.18,318,125.78,0,3,4,45,12
KD Karthik,India,13,32,26,14,399,48,33.25,278,143.52,0,0,2,42,15
V Sehwag,India,6,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
Abdul Razzaq,Pakisthan,7,32,29,10,393,46,20.68,337,116.61,0,0,2,21,21
Rizwan Cheema,CAN,11,24,24,2,389,72,17.68,314,123.88,0,2,5,33,28
SJ Baard,NAM,0,13,13,2,387,92,35.18,305,126.88,0,4,1,32,13
AA Obanda,KENYA,12,30,28,2,381,79,14.65,362,105.24,0,1,5,49,7
CJA Amini,Papua New Guinea,4,23,18,4,377,60,26.92,324,116.35,0,2,2,16,13
Mashrafe Mortaza,Bangladesh,11,54,39,11,377,36,13.46,277,136.1,0,0,6,28,23
AM Rahane,India,5,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6
J Rasu,VAN,0,13,13,0,374,74,28.76,338,110.65,0,2,0,27,16
Hussain Talat,Pakisthan,1,14,14,1,371,63,28.53,309,120.06,0,2,1,35,5
Nasir Hossain,Bangladesh,5,31,24,4,370,50,18.5,326,113.49,0,2,2,30,7
JW Jenner,JER,0,17,17,2,365,71,24.33,299,122.07,0,3,2,24,14
PJ Moor,Zimbabwe,3,21,19,4,364,92,24.26,286,127.27,0,1,0,22,24
Nasir Jamshed,Pakisthan,1,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12
NS Dhaliwal,CAN,0,12,11,2,361,69,40.11,291,124.05,0,3,0,22,16
Sharjeel Khan,Pakisthan,3,15,15,0,360,59,24.0,262,137.4,0,2,0,48,13
L Ronchi,New Zealand,10,33,26,6,359,51,17.95,256,140.23,0,1,5,30,14
R Sandaruwan,KUW,0,10,10,1,358,103,39.77,216,165.74,1,2,2,29,24
S Bau,Papua New Guinea,3,23,17,3,356,40,25.42,338,105.32,0,0,1,21,11
Anamul Haque,Bangladesh,3,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12
KD Shah,HKG,5,26,22,3,351,79,18.47,340,103.23,0,2,3,26,10
SW Billings,England,4,26,23,3,348,87,17.4,255,136.47,0,2,1,33,11
S Chandramohan,SGP,0,12,12,1,348,66,31.63,292,119.17,0,3,3,33,15
OA Shah,England,2,17,15,1,347,55,24.78,284,122.18,0,1,0,26,13
SO Tikolo,KENYA,6,15,15,3,345,56,28.75,281,122.77,0,2,3,46,6
S Chanderpaul,West Indies,4,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5
DM Bravo,West Indies,9,20,18,1,340,43,20.0,317,107.25,0,0,3,28,13
JM Vince,England,4,12,12,0,340,59,28.33,275,123.63,0,1,0,34,9
